232675000,Y,AM,Culdrose 750 NAS Exercise,,,8000
243400000,Y,AM,Culdrose Standby Guard,,,8000
278100000,Y,AM,Culdrose 736 Sqn Air to Air,,,8000
279075000,Y,AM,Culdrose 750 Sqn Mercury Ops,,,8000
285100000,Y,AM,Culdrose Ship-Air,,,8000
293800000,Y,AM,Culdrose 824 Sqn Camelot Ops,,,8000
339525000,Y,AM,Culdrose 820 Sqn Fishtank Ops,,,8000
341475000,Y,AM,Culdrose Ops,,,8000
357200000,Y,AM,Culdrose 814 Sqn Tiger Ops,,,8000
373200000,Y,AM,Culdrose D-School,,,8000
378625000,Y,AM,Culdrose D School Freddie,,,8000
124550000,Y,AM,Fairford Clearance,,,8000
129700000,Y,AM,Fairford Ops,,,8000
233475000,Y,AM,Fairford Dispatch,,,8000
278925000,Y,AM,Fairford Ops,,,8000
279275000,Y,AM,Fairford Flight Supervisor,,,8000
284425000,Y,AM,Fairford Metro,,,8000
300125000,Y,AM,Fairford B52 Air to Air,,,8000
300225000,Y,AM,Fairford B52 Air to Air,,,8000
311000000,Y,AM,Fairford Bomber Ops (B52),,,8000
321000000,Y,AM,Fairford Bomber Ops (B52),,,8000
323750000,Y,AM,B52 Bomber Interplane,,,8000
337750000,Y,AM,Fairford Ops,,,8000
345150000,Y,AM,Fairford B52 Air to Air,,,8000
369150000,Y,AM,Fairford B52 Air to Air,,,8000
376000000,Y,AM,Fairford Bomber Ops (B52),,,8000
123300000,Y,AM,Lakenheath PAR Dep Control,,,8000
128900000,Y,AM,Lakenheath Zone,,,8000
149550000,Y,AM,Lakenheath,,,8000
240650000,Y,AM,Lakenheath 495 Valkyrie Ops,,,8000
241975000,Y,AM,Lakenheath 494 Air to Air,,,8000
245700000,Y,AM,Lakenheath 495 Air to Air,,,8000
246650000,Y,AM,Lakenheath 494 Air to Air,,,8000
246925000,Y,AM,Lakenheath 495 Air to Air,,,8000
253400000,Y,AM,Lakenheath 495 Air to Air,,,8000
256200000,Y,AM,Lakenheath 494 Air to Air Aux,,,8000
257750000,Y,AM,Lakenheath Metro,,,8000
259100000,Y,AM,Lakenheath Close Air Support,,,8000
261100000,Y,AM,Lakenheath Showtime Tac,,,8000
